Date,epu_pt_epu,inflation_target,PPIPT_ppi,GS1_fred-md,GS5_fred-md,OILPRICEx_fred-md_Eur,CUSR0000SAC_fred-md,PCEPI_fred-md,EMPENT_PT_ea-qd,REER42_PT_ea-md,HICPOV_PT_ea-md,HICPNEF_PT_ea-md,HICPSV_PT_ea-md,HICPNG_PT_ea-md,DFGDP_PT_ea-qd,CCONFIX_PT_ea-md,GDP_PT_ea-qd,ULCIN_PT_ea-qd,EXPGS_PT_ea-qd,IMPGS_PT_ea-qd,CCI_PT_ea-md,UNETOT_PT_ea-md
2000-01-01,107.0962010943167,,3.3250360206965914,,,,,,,,,,,,,-2.4,,,,,102.388,
2000-02-01,105.5398778508387,-0.30000000000000004,3.339321977944068,0.09999999999999964,0.09999999999999964,,,,0.01686516059962173,-1.0215900000000033,0.009876792936847067,0.055271804686451986,0.17707937872830648,0.2799526066513902,0.44385728829512416,-3.0,0.04107475630519275,1.1001262630741415,-0.61564869897488,1.469830944425965,102.247,-0.1999999999999993
2000-03-01,68.84414978390637,-0.30000000000000004,3.3141860046725258,0.0,-0.17999999999999972,0.1196509226569118,0.016227536621757466,0.007428379303431321,0.08906155926124981,-0.6316899999999919,0.04983813873637999,0.11044006016049934,0.13122798438893746,0.01466789652124767,0.8255376747696275,-3.2,0.09270475203457806,1.3748374406932662,-1.0494116101892104,1.560747146238839,101.9521,-0.10000000000000053
2000-04-01,70.29277764705489,0.6000000000000001,3.269568939183719,-0.0699999999999994,-0.2400000000000002,-0.06430290203070665,0.006079046076382433,0.0034507484714190184,0.18590453263636064,0.40770999999999447,0.4453187216252097,0.05707046883838274,0.12748353580396277,3.720324689864407,-0.24187413786851408,-9.2,-0.22126188152178372,1.018715038381135,-0.887484200209876,0.8661634957061182,101.5175,-0.09999999999999964
2000-05-01,78.4516662742197,0.3999999999999999,3.186352633162641,0.17999999999999972,0.4300000000000006,-0.01132496233517477,-0.004032263527938618,0.0,0.25075975458239697,0.06696000000000879,0.020084903781558694,0.21893737381128986,0.3159313350803217,-0.4258568890592507,0.3623850274198759,-8.0,-0.22175253555491992,0.3668236828482385,-0.33398920892118156,-0.07178574841901764,101.2843,0.09999999999999964
2000-06-01,74.86429654141119,0.3999999999999999,3.1570004211501135,-0.16000000000000014,-0.39000000000000057,0.16181851151059234,0.007380107297622729,0.004212019977335224,0.27262880196534667,1.3465999999999951,0.4153589940019131,0.21587047182922703,0.36257434262210175,0.6020353222094599,1.1757591045512328,-9.3,-0.22224537050146154,-0.15852946204786278,0.1628432938808544,-0.5916808302375287,101.1673,-0.09999999999999964
2000-07-01,53.39496238369802,0.3999999999999999,3.1484533605716547,-0.08999999999999986,-0.1200000000000001,0.0402908940722444,0.00871611284036522,0.005886997821791695,0.22031536420517028,0.10317999999999472,1.2905320153815403,1.202184241924531,1.2567312570708644,1.3234296721231331,-0.4429969328428207,-8.4,0.5294579467788552,-0.5847058405643146,0.6088035672224379,-0.6727211833144509,101.1257,0.09999999999999964
2000-08-01,43.03605990452814,0.20000000000000018,3.0397491589707655,0.09999999999999964,-0.1200000000000001,0.05109369635733696,-0.002677377770716305,0.0024375723027789675,0.12405344254222683,-0.8910300000000007,0.2866648724189069,0.03499416588716997,0.14359041930123162,0.45041120651365674,0.3702018431649634,-8.9,0.526669447058481,-0.9615323206934256,1.047409880673733,-0.37134303875152597,101.0231,0.10000000000000053
2000-09-01,54.404882706121,-0.10000000000000009,2.9496883350525844,-0.04999999999999982,-0.1299999999999999,0.18242368466561176,0.0039973404326199,0.004224284409255041,-0.04079468096440664,-1.0462299999999942,0.1549709905972918,0.22897527633283232,0.35650984195090274,0.1215192577058044,0.9007042703015777,-11.1,0.5239101659396894,-1.2360123986722371,1.4200473603169783,0.39610400431069337,100.847,0.0
2000-10-01,66.94144165714424,0.10000000000000009,2.9652730660692828,-0.1200000000000001,-0.14999999999999947,0.11434169173827602,0.006014050869755039,0.005651218449458817,-0.22052040771596282,-0.32251999999999725,0.16067871439560122,0.12212688987371934,0.14065608657669593,0.3922696499999656,-0.1767491415638034,-10.8,0.1882685512427429,-1.2688850879182922,1.595245651463273,1.2772487472615168,100.7122,-0.20000000000000018
