Date,PPIPT
2000-01-01,67.0
2000-02-01,67.2
2000-03-01,67.5
2000-04-01,68.1
2000-05-01,68.5
2000-06-01,68.8
2000-07-01,69.1
2000-08-01,69.2
2000-09-01,69.2
2000-10-01,69.5
2000-11-01,69.6
2000-12-01,69.6
2001-01-01,70.6
2001-02-01,70.7
2001-03-01,70.7
2001-04-01,70.6
2001-05-01,71.0
2001-06-01,71.0
2001-07-01,71.0
2001-08-01,71.0
2001-09-01,71.0
2001-10-01,70.5
2001-11-01,70.0
2001-12-01,70.1
2002-01-01,70.2
2002-02-01,70.3
2002-03-01,70.5
2002-04-01,70.9
2002-05-01,71.5
2002-06-01,71.5
2002-07-01,71.4
2002-08-01,71.3
2002-09-01,71.3
2002-10-01,71.5
2002-11-01,71.3
2002-12-01,71.1
2003-01-01,72.0
2003-02-01,72.5
2003-03-01,72.3
2003-04-01,72.3
2003-05-01,72.2
2003-06-01,72.0
2003-07-01,71.3
2003-08-01,71.5
2003-09-01,71.3
2003-10-01,71.2
2003-11-01,71.2
2003-12-01,71.2
2004-01-01,71.8
2004-02-01,72.1
2004-03-01,72.5
2004-04-01,73.4
2004-05-01,73.9
2004-06-01,74.0
2004-07-01,74.1
2004-08-01,74.2
2004-09-01,74.3
2004-10-01,74.7
2004-11-01,74.6
2004-12-01,74.1
2005-01-01,79.1
2005-02-01,78.9
2005-03-01,79.6
2005-04-01,79.7
2005-05-01,79.9
2005-06-01,79.9
2005-07-01,80.1
2005-08-01,80.6
2005-09-01,80.6
2005-10-01,80.8
2005-11-01,80.7
2005-12-01,80.7
2006-01-01,81.8
2006-02-01,82.1
2006-03-01,82.5
2006-04-01,82.6
2006-05-01,83.3
2006-06-01,83.2
2006-07-01,83.2
2006-08-01,83.3
2006-09-01,83.2
2006-10-01,82.5
2006-11-01,82.6
2006-12-01,82.5
2007-01-01,83.1
2007-02-01,83.3
2007-03-01,83.5
2007-04-01,84.2
2007-05-01,84.4
2007-06-01,84.5
2007-07-01,84.8
2007-08-01,84.9
2007-09-01,84.6
2007-10-01,85.2
2007-11-01,85.9
2007-12-01,86.0
2008-01-01,87.1
2008-02-01,87.4
2008-03-01,88.1
2008-04-01,88.3
2008-05-01,89.1
2008-06-01,89.7
2008-07-01,90.3
2008-08-01,89.9
2008-09-01,89.3
2008-10-01,88.4
2008-11-01,86.9
2008-12-01,85.5
2009-01-01,85.7
2009-02-01,85.1
2009-03-01,84.7
2009-04-01,84.5
2009-05-01,84.5
2009-06-01,84.7
2009-07-01,84.7
2009-08-01,84.9
2009-09-01,84.8
2009-10-01,84.5
2009-11-01,84.8
2009-12-01,85.0
2010-01-01,85.6
2010-02-01,85.9
2010-03-01,86.5
2010-04-01,87.3
2010-05-01,87.6
2010-06-01,88.1
2010-07-01,88.3
2010-08-01,88.2
2010-09-01,88.4
2010-10-01,88.2
2010-11-01,88.6
2010-12-01,89.3
2011-01-01,91.0
2011-02-01,91.4
2011-03-01,92.0
2011-04-01,92.5
2011-05-01,92.5
2011-06-01,92.0
2011-07-01,91.8
2011-08-01,91.8
2011-09-01,91.8
2011-10-01,91.3
2011-11-01,91.4
2011-12-01,91.3
2012-01-01,93.4
2012-02-01,93.4
2012-03-01,93.9
2012-04-01,94.5
2012-05-01,94.2
2012-06-01,94.2
2012-07-01,94.6
2012-08-01,95.8
2012-09-01,96.1
2012-10-01,95.8
2012-11-01,95.4
2012-12-01,94.8
2013-01-01,95.9
2013-02-01,95.9
2013-03-01,95.8
2013-04-01,95.4
2013-05-01,95.4
2013-06-01,95.2
2013-07-01,95.7
2013-08-01,95.5
2013-09-01,95.4
2013-10-01,94.8
2013-11-01,94.3
2013-12-01,94.5
2014-01-01,94.7
2014-02-01,94.8
2014-03-01,94.5
2014-04-01,94.7
2014-05-01,94.7
2014-06-01,94.6
2014-07-01,94.7
2014-08-01,94.7
2014-09-01,94.6
2014-10-01,93.9
2014-11-01,93.6
2014-12-01,92.5
2015-01-01,92.5
2015-02-01,91.3
2015-03-01,91.7
2015-04-01,92.2
2015-05-01,92.2
2015-06-01,92.2
2015-07-01,92.7
2015-08-01,92.1
2015-09-01,91.2
2015-10-01,90.7
2015-11-01,90.3
2015-12-01,89.6
2016-01-01,89.7
2016-02-01,88.8
2016-03-01,89.0
2016-04-01,88.9
2016-05-01,89.3
2016-06-01,90.6
2016-07-01,90.9
2016-08-01,90.6
2016-09-01,90.5
2016-10-01,91.1
2016-11-01,90.9
2016-12-01,91.7
2017-01-01,94.2
